[2024-12-07 21:51:00] USER: admin12, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-07 21:51:06] USER: admin12, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-07 21:51:11] USER: admin12, STATUS: Success, DETAILS: Booked BUS-0R-01 on Tuesday at 14:00:00
[2024-12-07 21:52:12] USER: dawsonjm, STATUS: Success, DETAILS: Booked BUS-0R-03 on Monday at 10:00:00
[2024-12-07 21:55:48] USER: dawsonjm, STATUS: Success, DETAILS: Booked TRA-0R-01 on Friday at 08:00:00
[2024-12-07 22:03:17] USER: dawsonjm, STATUS: Booking marked as Debug, DETAILS: Room Name: BUS-0R-03
[2024-12-07 22:03:17] USER: dawsonjm, STATUS: Booking marked as Debug, DETAILS: Table Name: bus_rooms
[2024-12-07 22:03:19] USER: dawsonjm, STATUS: Booking marked as Success, DETAILS: Booking ID: 318 marked as Used and room reset to Available
[2024-12-07 22:03:30] USER: dawsonjm, STATUS: Cancellation Success, DETAILS: Cancelled booking for TRA-0R-01 on Friday at 08:00:00
[2024-12-07 22:03:41] USER: dawsonjm, STATUS: Failed, DETAILS: Time slot not found.
[2024-12-07 22:03:47] USER: dawsonjm, STATUS: Failed, DETAILS: Time slot not found.
[2024-12-07 22:03:56] USER: dawsonjm, STATUS: Success, DETAILS: Booked BUS-0R-01 on Monday at 13:00:00
[2024-12-07 22:04:07] USER: dawsonjm, STATUS: Failed, DETAILS: Time slot not found.
[2024-12-07 22:05:34] USER: dawsonjm, STATUS: Failed, DETAILS: Time slot not found.
[2024-12-07 22:05:40] USER: dawsonjm, STATUS: Success, DETAILS: Booked BUS-0R-01 on Friday at 08:00:00
[2024-12-07 22:06:15] USER: dawsonjm, STATUS: Success, DETAILS: Booked BUS-0R-01 on Thursday at 08:00:00
[2024-12-07 22:06:33] USER: dawsonjm, STATUS: Cancellation Success, DETAILS: Cancelled booking for BUS-0R-01 on Friday at 08:00:00
[2024-12-07 22:42:12] USER: dawsonjm, STATUS: Success, DETAILS: Booked TRA-0R-01 on Wednesday at 13:00:00
[2024-12-08 01:18:51] USER: dawsonjm, STATUS: Success, DETAILS: Booked BUS-0R-01 on Monday at 08:00:00
[2024-12-08 01:27:12] USER: dawsonjm, STATUS: Success, DETAILS: Booked BUS-0R-01 on Monday at 08:00:00
[2024-12-08 01:27:28] USER: admin12, STATUS: Cancellation Failed, DETAILS: Booking not found
[2024-12-08 01:27:29] USER: admin12, STATUS: Cancellation Failed, DETAILS: Booking not found
[2024-12-08 01:27:30] USER: admin12, STATUS: Cancellation Failed, DETAILS: Booking not found
[2024-12-08 01:27:30] USER: admin12, STATUS: Cancellation Failed, DETAILS: Booking not found
[2024-12-08 01:27:30] USER: admin12, STATUS: Cancellation Failed, DETAILS: Booking not found
[2024-12-08 01:29:31] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-08 01:37:59] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-08 01:39:30] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-08 01:40:25] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-08 01:40:47] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Not authorized to cancel this booking
[2024-12-08 01:40:51] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Not authorized to cancel this booking
[2024-12-08 01:41:03] USER: dawsonjm, STATUS: Cancellation Success, DETAILS: Cancelled booking for BUS-0R-01 on Monday at 08:00:00
[2024-12-08 01:41:03] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Booking not found
[2024-12-08 01:41:13] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Not authorized to cancel this booking
[2024-12-08 01:41:36] USER: admin12, STATUS: Cancellation Success, DETAILS: Cancelled booking for BUS-0R-01 on Tuesday at 14:00:00
[2024-12-08 01:43:04] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Not authorized to cancel this booking
[2024-12-08 01:44:20] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Not authorized to cancel this booking
[2024-12-08 01:44:28] USER: dawsonjm, STATUS: Cancellation Success, DETAILS: Cancelled booking for TRA-0R-01 on Wednesday at 13:00:00
[2024-12-08 01:44:28] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Booking not found
[2024-12-08 01:44:28] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Booking not found
[2024-12-08 01:45:03] USER: dawsonjm, STATUS: Success, DETAILS: Booked TRA-0R-01 on Tuesday at 14:00:00
[2024-12-08 01:45:48] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Not authorized to cancel this booking
[2024-12-08 01:47:04] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Not authorized to cancel this booking
[2024-12-08 01:50:13] USER: admin12, STATUS: Success, DETAILS: Booked LFT-0R-01 on Tuesday at 15:00:00
[2024-12-08 01:55:25] USER: admin12, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-08 01:55:47] USER: admin12, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-08 01:56:39] USER: admin12, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-08 01:57:06] USER: admin12, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-08 01:58:54] USER: admin12, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-08 02:01:39] USER: admin12, STATUS: Success, DETAILS: Booked BUS-0R-01 on Monday at 08:00:00
[2024-12-08 02:04:33] USER: admin12, STATUS: Cancellation Failed, DETAILS: Missing booking ID
[2024-12-08 02:13:44] USER: dawsonjm, STATUS: Success, DETAILS: Booked BUS-0R-01 on Tuesday at 14:00:00
[2024-12-08 02:14:06] USER: dawsonjm, STATUS: Failed, DETAILS: Time slot not found.
[2024-12-08 02:16:10] USER: dawsonjm, STATUS: Failed, DETAILS: Time slot not found.
[2024-12-08 02:17:00] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Unknown column 'user_id' in 'where clause'
[2024-12-08 02:17:05] USER: dawsonjm, STATUS: Success, DETAILS: Booked BUS-0R-01 on Friday at 11:00:00
[2024-12-08 02:17:39] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Unknown column 'user_id' in 'where clause'
[2024-12-08 02:18:32] USER: dawsonjm, STATUS: Failed, DETAILS: Time slot not found.
[2024-12-08 02:18:46] USER: dawsonjm, STATUS: Failed, DETAILS: Time slot not found.
[2024-12-08 02:19:05] USER: dawsonjm, STATUS: Success, DETAILS: Booked BUS-0R-01 on Monday at 14:00:00
[2024-12-08 02:19:28] USER: dawsonjm, STATUS: Cancellation Failed, DETAILS: Unknown column 'user_id' in 'where clause'
[2024-12-08 02:20:59] USER: dawsonjm, STATUS: Success, DETAILS: Booked BUS-0R-01 on Tuesday at 14:00:00
[2024-12-08 02:21:18] USER: dawsonjm, STATUS: Failed, DETAILS: Time slot not found.
